,precision,recall,f1-score,support
admiration,0.7566371681415929,0.35550935550935553,0.4837340876944837,481.0
amusement,0.8027210884353742,0.4097222222222222,0.542528735632184,288.0
anger,0.8157894736842105,0.15346534653465346,0.25833333333333336,202.0
annoyance,0.29411764705882354,0.015479876160990712,0.029411764705882353,323.0
approval,0.7222222222222222,0.037037037037037035,0.07046070460704607,351.0
caring,0.6666666666666666,0.05,0.09302325581395349,120.0
confusion,0.7142857142857143,0.057803468208092484,0.10695187165775401,173.0
curiosity,0.5277777777777778,0.06884057971014493,0.12179487179487179,276.0
desire,0.8571428571428571,0.11764705882352941,0.20689655172413793,102.0
disappointment,0.0,0.0,0.0,136.0
disapproval,0.3333333333333333,0.02142857142857143,0.040268456375838924,280.0
disgust,0.8,0.0761904761904762,0.1391304347826087,105.0
embarrassment,0.0,0.0,0.0,42.0
excitement,0.625,0.05102040816326531,0.09433962264150944,98.0
fear,1.0,0.04285714285714286,0.0821917808219178,70.0
gratitude,0.9822064056939501,0.7908309455587392,0.8761904761904762,349.0
grief,0.0,0.0,0.0,9.0
joy,0.8163265306122449,0.22988505747126436,0.35874439461883406,174.0
love,0.7905405405405406,0.4957627118644068,0.609375,236.0
nervousness,0.0,0.0,0.0,22.0
optimism,0.7012987012987013,0.24,0.3576158940397351,225.0
pride,0.5,0.06666666666666667,0.11764705882352941,15.0
realization,0.6666666666666666,0.014184397163120567,0.027777777777777776,141.0
relief,0.0,0.0,0.0,19.0
remorse,0.5454545454545454,0.16,0.24742268041237114,75.0
sadness,0.7666666666666667,0.14375,0.24210526315789474,160.0
surprise,0.7777777777777778,0.10144927536231885,0.1794871794871795,138.0
neutral,0.6269644334160464,0.4289756649688738,0.5094086021505376,1767.0
micro avg,0.7108886107634543,0.2672102869687941,0.3884203328014589,6377.0
macro avg,0.5746284363169897,0.14744665221074543,0.2069585642229949,6377.0
weighted avg,0.6528322874483996,0.2672102869687941,0.3420046267305286,6377.0
samples avg,0.30481727574750833,0.28800602928509905,0.291995816414421,6377.0
