,precision,recall,f1-score,support
admiration,0.6745562130177515,0.47401247401247404,0.5567765567765568,481.0
amusement,0.76,0.59375,0.6666666666666666,288.0
anger,0.6463414634146342,0.2623762376237624,0.3732394366197183,202.0
annoyance,0.3728813559322034,0.06811145510835913,0.11518324607329843,323.0
approval,0.43661971830985913,0.08831908831908832,0.14691943127962084,351.0
caring,0.6363636363636364,0.175,0.27450980392156865,120.0
confusion,0.6666666666666666,0.18497109826589594,0.2895927601809955,173.0
curiosity,0.5154639175257731,0.18115942028985507,0.2680965147453083,276.0
desire,0.8076923076923077,0.20588235294117646,0.328125,102.0
disappointment,0.45454545454545453,0.07352941176470588,0.12658227848101267,136.0
disapproval,0.38095238095238093,0.08571428571428572,0.13994169096209913,280.0
disgust,0.7096774193548387,0.20952380952380953,0.3235294117647059,105.0
embarrassment,0.6363636363636364,0.16666666666666666,0.2641509433962264,42.0
excitement,0.5217391304347826,0.12244897959183673,0.19834710743801653,98.0
fear,0.782608695652174,0.2571428571428571,0.3870967741935484,70.0
gratitude,0.9744408945686901,0.8739255014326648,0.9214501510574018,349.0
grief,0.0,0.0,0.0,9.0
joy,0.7586206896551724,0.3793103448275862,0.5057471264367817,174.0
love,0.7584541062801933,0.6652542372881356,0.708803611738149,236.0
nervousness,1.0,0.045454545454545456,0.08695652173913043,22.0
optimism,0.6946564885496184,0.40444444444444444,0.5112359550561798,225.0
pride,0.375,0.2,0.2608695652173913,15.0
realization,0.47619047619047616,0.07092198581560284,0.12345679012345678,141.0
relief,0.0,0.0,0.0,19.0
remorse,0.6060606060606061,0.26666666666666666,0.37037037037037035,75.0
sadness,0.6486486486486487,0.3,0.41025641025641024,160.0
surprise,0.75,0.30434782608695654,0.4329896907216495,138.0
neutral,0.5750160978750805,0.5053763440860215,0.5379518072289157,1767.0
micro avg,0.6485148514851485,0.369766347812451,0.47098771596924,6377.0
macro avg,0.593555714430521,0.25586821546669275,0.33317305794447066,6377.0
weighted avg,0.613222520894184,0.369766347812451,0.4361513339023116,6377.0
samples avg,0.4085763504368155,0.39336471022517533,0.3936384889873262,6377.0
